bus,jan-09,feb-09,mar-09,apr-09,may-09,jun-09,jul-09,aug-09,sep-09,oct-09,nov-09,dec-09,jan-10,feb-10,mar-10,apr-10,may-10,jun-10,jul-10,aug-10,sep-10,oct-10,nov-10,dec-10,jan-11,feb-11,mar-11,apr-11,may-11,jun-11,jul-11,aug-11,sep-11,oct-11,nov-11,dec-11,jan-12,feb-12,mar-12,apr-12,may-12,jun-12,jul-12,aug-12,sep-12,oct-12,nov-12,dec-12,jan-13,feb-13,mar-13,apr-13,may-13,jun-13,jul-13,aug-13,sep-13,oct-13,nov-13,dec-13,jan-14,feb-14,mar-14,apr-14,may-14,jun-14,jul-14,aug-14,sep-14,oct-14,nov-14,dec-14
38,155024,150452,168627,161194,159536,156444,152719,148658,159644,167183,151002,146095,136780,141656,167358,157876,156013,155602,141084,141797,151888,150962,142835,133353,138801,138452,158253,145261,154008,150526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,531157,486696,558576,524752,549348,522494,524748,515459,520656,545445,509874,509897,497716,488488,551697,534320,552000,533760,514866,506856,504387,502935,480942,561026,642289,615124,688699,665729,701539,675666,675198,688154,689242,709929,672592,688689,685956,672159,705958,663486,707412,653868,624418,666411,637771,669514,607692,597679,633910,617144,679443,661564,675928,609595,593037,616760,600062,633000,583020,587747,585176,554804,604849,581332,592955,538768,541364,560000,543389,580903,543666,543677
42,130465,123784,139760,136094,132388,133832,128150,122518,128913,136222,120760,119327,112309,116252,133631,130020,125739,128090,117584,118171,119681,123418,118474,50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,559502,529936,602293,585584,586948,576450,581173,565834,577641,596504,560000,559680,546626,542620,634998,607832,612566,598842,580352,581394,583613,592670,573331,561276,591857,569108,642641,620964,640535,617676,601475,619136,613820,623401,591479,601013,608389,604194,635159,598227,638627,592267,567774,599809,579987,630449,567618,558280,586541,567560,630058,624050,645993,603132,642757,662669,638490,676593,607185,620565,629353,595728,639597,614346,625063,566010,574872,593587,577187,618434,560389,567603
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752800,789570,776103,798260,761743,766118,771986,780708,836111,780537,834999,798958,770377,811401,777360,852788,779001,757870,793076,761300,836309,818810,844293,781190,810750,833255,802030,862208,785090,800911,802581,764816,836820,821548,834087,752704,776731,792402,761206,796474,745396,742378
53,301427,281856,315085,298832,306500,297008,297518,293828,302584,314730,290936,291566,287412,287160,328000,314304,317464,314106,299013,295186,297372,302744,288657,309243,348458,341372,384088,373852,384604,374236,352918,369497,377045,385706,367516,362845,369063,373167,389586,363586,388994,366188,358910,389822,376377,418112,370612,353660,379926,372428,392380,392026,403337,355614,370245,394816,391398,422076,372265,370330,383006,369700,400658,395446,403192,356579,365494,387673,381635,411204,360208,362815
55,284158,277664,317765,301410,302457,291450,282878,262837,286950,308018,281188,272984,258709,272544,314459,297950,298816,288272,255182,258214,265207,271365,258924,243893,254789,256668,293152,275236,285497,271654,238387,249902,261097,272578,250460,242813,246447,258658,272815,251081,271854,243635,227485,259924,260877,288263,250784,225676,251063,246672,261308,261516,264676,223958,228045,255698,251056,274368,238650,232750,237367,233516,252336,243580,247303,213100,221787,236481,238518,256271,226483,225727
60,476496,449916,514457,492284,501434,495520,497681,490565,477074,502988,462990,469796,459862,453820,523319,494346,505535,498302,504446,503337,486400,485969,466574,455661,462272,446812,505484,487201,501066,490716,547815,571964,563407,564452,534944,552487,544130,542173,573198,547646,584763,561488,564511,599322,560516,612590,561298,553936,575388,549164,598355,577444,591321,550083,585701,593467,570600,601655,555315,570661,573124,538320,589380,575450,574433,522904,530939,545567,531105,550603,502218,509459
62,107839,99036,111281,107510,106091,107442,112970,111172,111274,116594,106444,106056,104019,102040,118979,114298,114380,117728,119902,123774,122494,120359,119602,116349,115277,110504,127435,121982,125040,123902,123168,135883,131350,132378,127153,127388,126448,123830,131839,126357,132982,129050,130990,140259,131034,145248,131068,122884,129859,123552,132697,134860,141579,132944,142082,147333,136972,148819,135965,135481,138491,130576,139732,140622,142385,131736,139151,137463,134848,148666,136970,140861
66,639120,602312,682611,668858,669132,660458,644974,634420,620296,653982,611316,606898,577914,587204,681078,655336,655603,651324,570489,562959,542108,554759,530688,514084,516802,507988,576087,561682,565332,567618,529554,542010,513296,528912,505100,499810,496694,503408,537930,510399,541840,520724,499270,525503,480209,526482,472945,451858,473396,450168,502154,499508,510837,473193,476370,490478,457060,488882,442410,431617,431992,411928,452759,450966,453658,409562,423972,431664,415411,444282,398728,394252
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165635,163469,174634,178652,166365,160828
70,377536,340296,392060,383398,384666,375264,383003,378555,380811,395450,370664,341772,324204,309864,358011,347504,353600,344682,344392,344497,340502,336923,320924,320359,344801,316864,357142,352477,362761,358430,349669,362363,355571,362046,339242,348711,355634,346609,364014,354753,372804,356054,354855,362249,352635,379924,340776,332080,365292,340644,373017,369710,372111,348436,362269,367493,352170,374726,341620,352104,361618,327288,366326,358966,361356,333141,342147,344936,336738,353167,329796,329935
71,0,0,0,0,0,0,0,0,0,0,0,21186,38878,37360,42257,40848,39721,39036,39144,38495,40419,41470,39167,37155,38659,37984,43887,41735,42813,42438,39595,43266,44999,49232,47356,43594,46651,47056,49855,46866,50871,45429,44775,50081,47854,58288,49838,40308,49464,45832,47435,50524,51338,42422,45074,47519,45202,53130,45180,45207,48849,47108,48196,50204,47573,39258,42831,42874,44288,53024,42982,43541
76,299789,272448,315333,300432,296636,297716,301098,292768,297257,308633,284588,287630,283733,266696,307971,289342,297246,295832,289954,292726,293031,296953,285872,279990,301763,273664,314660,303541,313779,306412,296059,307801,304630,307883,287909,292607,292379,287808,304666,290913,308193,297536,290015,293698,283307,305450,272818,267379,284268,265612,294158,292250,296647,276039,287024,289039,281398,305119,276095,282719,294391,266152,297032,296060,294645,270423,272358,266863,260220,277017,265879,262416
78,315196,286692,331687,317888,315202,310280,316348,310037,310656,321231,295264,303867,296405,285588,335971,320126,320574,318426,305751,309383,309335,306615,291708,287531,302321,284184,323834,315606,317958,314208,306992,319295,318546,320265,302534,305595,308731,308190,324806,310437,329236,316955,312396,327381,314909,345309,313819,303706,319794,302096,329260,325626,330954,308423,323159,329891,313002,333037,308415,314120,313905,289368,315584,316686,318587,291983,295681,305813,293663,307451,287495,288258
81,487440,451936,517550,486194,498540,476116,476290,465092,474214,496880,463540,456922,437152,439864,508751,486442,483851,474338,438416,443860,451038,459501,440600,420235,445914,424872,484594,465520,480417,469950,433711,454809,460607,469841,439660,433903,443699,444702,477210,449204,474182,437636,424848,457328,448624,486916,441455,413665,453813,434228,481078,487016,498876,457126,474226,509211,485270,520253,467400,468796,474557,452880,500302,490942,498104,445610,456617,473782,467534,500419,443852,442100
83,164568,150856,174709,169816,167322,162196,160104,153773,160231,166757,154994,148532,136403,133360,147719,141444,143183,140212,133155,132261,134432,136352,130748,121244,120223,111136,127833,122245,125655,122424,111891,112550,113589,116617,106087,106623,106035,104358,111976,106869,112721,102802,94312,97078,93197,102747,89752,87573,89871,87264,96475,97984,102735,97835,103614,107398,105770,111607,100210,97804,95877,89748,101430,100612,98651,86975,85338,86828,85291,91012,81299,81718
84,289192,267640,314888,288184,291456,284146,265079,259099,275733,278994,253476,230718,223572,227520,262877,251486,253566,243600,244022,236224,244468,251965,238684,243041,262172,257200,290896,273953,288999,272608,256210,252212,266532,269279,249264,241611,243376,248539,264348,248311,274399,255368,246125,254878,257930,275067,246018,235673,250282,247920,275778,280728,290523,263402,275196,285999,289840,305261,271645,270889,273101,260560,297633,283752,290459,262191,0,0,0,0,0,0
90,153291,143768,174190,165134,163599,157564,164128,159501,167821,174825,156996,153023,143287,150060,181913,168198,169382,165080,156833,156246,168704,164315,155816,146325,147961,146712,176177,166748,174039,163366,155004,168131,178935,178942,167486,159700,156191,166721,184174,169893,185356,172088,168750,177058,189138,205091,178852,168663,179312,178580,205118,198478,199782,178513,195155,199461,214102,229751,202855,197824,200207,195912,224185,216826,218905,193335,200723,200917,213973,229048,196702,184099
92,142026,130908,149976,144634,147737,143570,161034,160310,161115,169509,157340,161082,147351,147744,172338,163628,167908,166846,161993,164036,160976,162544,155143,152261,149463,141680,162203,157497,160400,161060,153488,159323,155193,158132,152722,155038,149320,145358,158925,149062,162207,154173,150106,156487,149020,162169,148639,149806,150303,146156,162675,158342,160776,153399,156785,160617,150694,164774,150130,153245,151570,140428,158754,155540,157258,144571,150372,150005,144772,155732,144264,144212
94,279817,248964,296822,282988,284110,276472,189326,184789,181873,189517,173738,168350,157594,155292,180750,170596,172271,170724,168285,169422,167866,166733,159120,155870,163555,156600,180247,172231,176599,173698,207502,205583,203553,208838,193068,198512,198061,190818,194378,195374,214531,203975,197869,199894,199840,206424,188193,192568,192886,184280,208506,197266,206758,194447,194258,198582,193296,201460,186615,185824,186113,173164,193936,187260,194739,179616,177180,184975,174395,181661,171273,167491
