bus,jan-09,feb-09,mar-09,apr-09,may-09,jun-09,jul-09,aug-09,sep-09,oct-09,nov-09,dec-09,jan-10,feb-10,mar-10,apr-10,may-10,jun-10,jul-10,aug-10,sep-10,oct-10,nov-10,dec-10,jan-11,feb-11,mar-11,apr-11,may-11,jun-11,jul-11,aug-11,sep-11,oct-11,nov-11,dec-11,jan-12,feb-12,mar-12,apr-12,may-12,jun-12,jul-12,aug-12,sep-12,oct-12,nov-12,dec-12,jan-13,feb-13,mar-13,apr-13,may-13,jun-13,jul-13,aug-13,sep-13,oct-13,nov-13,dec-13,jan-14,feb-14,mar-14,apr-14,may-14,jun-14,jul-14,aug-14,sep-14,oct-14,nov-14,dec-14
156,61613,58492,68617,64608,66128,64870,63391,60767,62179,65873,59214,56899,54111,53860,62420,60404,62700,61942,58626,57881,53986,56407,51556,44858,44473,42328,48826,47602,49173,49550,48077,50658,50140,51223,47001,44604,46129,45924,49079,45900,50893,49478,49539,53252,51247,54763,48221,44951,48329,46692,51726,51052,52771,50317,53776,54026,51472,55206,47990,44516,47706,46032,50337,48914,50056,45232,47079,48540,46459,48485,43332,42459
158,57670,55248,64256,58556,60866,55796,52965,50992,57222,60135,55488,51096,47672,50328,58464,56806,58160,56174,52348,55104,59459,60789,58078,52751,54170,55540,63703,59605,62762,58566,51931,57705,64111,64878,61459,56618,57575,61169,66560,59383,68765,58828,55406,65188,64731,72468,61641,55020,62013,60852,64825,67470,69251,56718,59363,66656,67166,75490,63605,61072,64676,63520,71240,69432,71150,59376,59797,63578,66596,74113,61716,58056
161,35586,31140,37109,35692,34922,33268,35520,33386,36554,35646,32428,32078,30445,30192,35240,32438,33258,34032,35712,37178,35854,36422,34822,33950,34097,32416,37159,35440,34738,35728,34166,38256,36630,36835,34617,33740,35294,35239,37279,34822,37470,36050,34494,37022,34612,40197,36059,34003,37140,34604,37231,36816,37441,35915,39282,41114,38184,41787,37060,37827,39469,36892,39560,39556,39933,36667,39761,38239,37624,41321,36049,36592
163,292276,273436,314723,304350,302197,298736,292860,287592,286859,302756,282676,275493,259775,269756,314532,296876,298081,296146,276895,277890,278732,284585,269048,258444,268639,256456,291831,285305,292545,288032,256803,273750,273598,277995,255068,247597,254095,252023,270886,257187,275466,267379,261426,280534,269100,302634,267654,251015,270142,261864,284612,287830,292468,261988,271338,288341,274290,301224,267385,264787,279146,262420,295377,287626,289403,261036,265842,273200,271189,291680,252542,253277
164,198329,189624,221409,208684,209432,203564,206890,199588,215741,221463,202874,195686,176024,188312,223294,211174,209027,203252,195406,200231,209792,213304,200506,184712,185224,187704,216760,207684,223232,206440,189245,207941,212594,215369,200869,190862,190142,200363,209780,194440,214403,196111,185343,204547,199521,224357,197008,181239,192311,195144,209695,210128,214063,187124,186877,201172,197520,216517,190100,181895,188075,182760,204126,200624,202514,177550,181725,188282,192399,205034,176696,174008
165,234954,225768,264041,248514,246668,240100,235078,229297,231692,251942,229626,225746,201877,208724,245982,234466,233541,235122,214482,225984,225896,235220,222149,214856,215965,214448,248624,236495,251100,235032,215300,243593,241559,250769,236663,227492,230330,235933,252617,232378,252164,226267,214160,237110,224074,252044,223110,207104,226153,219084,235085,240954,245238,215330,212136,231261,225456,251118,218705,214269,218994,207952,233012,230632,234798,199593,209204,221337,222777,237906,205767,206568
166,178776,170636,203072,188030,183415,180400,170267,172888,183583,197105,180324,176337,154255,165544,191091,180390,177068,178208,165810,176687,180271,182910,174124,164037,163625,164276,190321,181094,184508,171440,155571,172229,182735,182878,172070,164933,161727,169306,177927,169267,179825,158956,153845,173725,168036,191767,167607,153416,161359,163368,174640,175378,174586,150089,159071,172240,174262,193580,165760,164287,166793,163156,177986,172804,172549,152842,152784,163218,172140,184307,155735,154197
167,41140,39121,46732,42217,43381,41667,37208,34898,45572,46559,42651,41793,37665,37940,51466,47865,47544,45043,43066,46946,55292,56231,51575,46386,47445,48514,57917,53071,57503,50435,40384,47669,57495,58341,53339,47725,48706,54286,57142,50251,57737,48042,45198,56466,58209,65019,53331,47942,50477,54136,57812,57608,59389,49961,60108,65902,72424,77633,68055,64379,65114,65488,73267,70676,70153,61101,61292,64469,71741,75686,65101,62393
168,6384,6460,7612,6468,6280,6336,4899,4578,6069,6644,6000,5892,5340,6140,7567,6842,6480,6600,5502,6182,6804,7203,6258,2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,49045,47776,55064,54050,50663,49756,51949,48275,50772,54649,49340,47593,42739,48100,56455,52852,51412,53342,50051,53819,52135,52723,50993,48924,51895,49992,60666,55423,56946,59244,52151,60758,57551,57320,55089,50755,54140,55647,61301,55995,62378,56416,55015,60166,54386,64674,55752,48887,56015,55772,59568,62998,62856,53926,60326,59914,57396,64269,52260,48077,50824,47536,53524,54332,54025,48802,46244,47817,50568,56235,42351,45126
175,15477,13740,14124,17160,16680,15730,16629,16422,15834,15708,15260,13320,14440,13600,15341,13442,14820,15620,11319,12298,15330,14385,15582,14247,14259,13140,15111,13692,14343,16632,4340,4508,14763,15288,15183,12810,14322,16380,17028,13566,16170,10474,4200,15249,13547,16905,13398,8350,14784,14240,12894,16698,17798,4800,5830,16192,15900,19596,14560,13635,15136,16120,17010,16764,17745,9240,6666,15162,16569,18952,15086,13678
176,23457,22840,26092,25674,22780,24178,27048,24255,26964,28072,24260,23938,22360,21140,26082,24662,22060,25036,23667,24178,24570,19425,17556,18178,22995,21140,25139,23982,24675,24948,37600,43677,41097,41076,40635,38178,40635,41223,44110,40740,43274,41631,41580,45563,39729,48323,41076,37160,42966,40260,43008,45056,45474,40345,42878,42768,41040,45448,37780,38512,41690,38340,41874,43736,41223,39354,42548,40320,41097,44275,37126,38748
177,6578,7222,8371,7165,6572,6755,6540,5298,5440,5457,4811,4807,4693,5612,7453,6079,5493,6230,5978,5830,6804,6908,6507,3021,4340,3501,5081,4172,3726,4351,3601,5495,4232,4006,4033,2935,3638,3842,4309,4565,4249,4003,3749,4177,3325,3959,3495,2849,3878,3533,4032,3639,3638,4068,4290,3784,3360,4002,3300,2709,3322,3180,3297,3806,3507,4095,4554,3591,3717,3818,3211,2988
180,303519,272856,320691,304554,311183,306680,316455,303926,303867,319301,297542,300264,279973,266828,316756,300538,315220,313366,301891,302363,301503,306723,291021,309582,322708,311184,349389,345821,354087,345682,367460,361162,366911,374072,343919,360189,339036,335767,363749,350475,375924,350311,340771,342671,339307,356990,325200,330527,323471,310036,352901,339446,352011,350142,370960,379013,368486,390406,369090,376877,356360,330776,367302,358566,364159,334390,343989,353226,332209,351132,332575,330190
183,52307,47972,55374,52856,54174,53522,56235,52901,54719,56821,52898,51594,46961,48804,57893,55512,54741,56016,54658,55526,56202,57411,55048,51395,52783,51500,60773,58534,58867,58574,53545,57648,58805,60813,58262,54857,55806,56138,61867,58547,66868,61557,59687,64586,60306,68274,58062,55916,60720,59900,65554,66860,67626,59671,62095,62401,61360,68550,57810,55932,58317,55392,59634,59898,59865,55037,55394,56058,57556,61434,52830,53431
190,0,0,0,0,0,0,0,0,0,0,0,109854,192363,186272,220692,210096,207885,204180,200066,205459,217986,213125,209714,188097,200301,189396,226234,216561,221797,213780,199181,216577,226909,230503,213176,204439,211817,213761,237728,221771,229052,212171,205944,217685,219555,247515,210555,189418,212329,202860,227572,227578,226153,202586,206498,210018,213510,236575,206320,191166,205845,185540,209035,211116,205632,184935,184323,184273,188944,203089,178865,172407
200,413613,390360,442743,434900,437774,420804,424058,419756,421282,440612,411018,404323,396967,390480,451235,437220,442058,427458,419424,421244,407639,418067,399642,388561,407099,396092,443385,428945,439777,435830,416407,430306,422547,441317,407898,413351,418531,422016,450035,424209,447416,434907,429132,456628,423307,459529,414460,401967,427831,410140,448910,448186,453748,419484,425753,448912,423318,455731,411510,412584,419781,391460,444707,439262,444584,403728,397991,408574,392251,404248,370227,374776
201,26758,28132,33876,31646,31377,32358,31146,31163,33484,34457,31378,30312,27698,27424,30963,29448,29957,29726,28029,31001,29968,30678,28841,28052,27669,27232,29977,29759,29140,28976,25014,27342,26383,26090,25686,24201,24084,24578,24730,24052,26774,26563,26770,29057,26569,28958,26121,25767,24535,26680,31017,31632,33104,30723,33068,33177,32308,36162,31965,32562,33486,31676,35716,35092,34858,32967,33089,32624,33208,34762,31642,31377
202,8421,7700,8558,8580,7960,8206,8487,7749,8169,8382,7540,6880,6960,6800,7820,7106,6760,7216,6741,7282,7875,7749,7329,6016,5250,5060,5796,5376,5838,5962,5140,5980,6447,6426,6363,5418,6132,6006,6116,5817,6314,5105,5229,5888,5909,7498,6069,5120,5940,5440,5649,6006,6336,5410,6028,6336,6260,7222,5740,5745,6446,6000,6720,6952,6678,6384,6182,6594,7308,7751,6137,6164
204,790120,752348,852239,808054,814507,819186,812708,795835,831073,833800,767578,724276,697524,712544,819074,774140,782062,780286,755479,766644,791868,801495,741031,703889,712730,689052,796668,765460,792781,785128,744953,764728,782877,804189,757528,718772,739181,752372,792035,745382,809604,751849,721614,795704,774474,820895,723093,680410,711982,702712,782199,771460,775392,695907,719734,743903,739262,779355,693770,686445,689193,660980,728430,703152,711081,643915,673287,672067,699337,734144,663697,655724
205,86605,82913,94921,88399,90533,86781,88622,85639,98280,99040,90710,85680,81500,88042,101657,98055,97446,91157,86947,90647,98007,96572,86537,79895,88089,89763,100445,90949,96593,87691,84579,88035,96212,99911,92714,83085,89250,94735,103350,91731,102770,89573,90751,103058,106156,119855,102131,90281,95873,99703,103762,103593,106276,90931,122193,127744,129284,138206,115325,112154,121113,115872,128975,126010,129107,114131,119703,121934,128662,134276,112526,110380
206,422546,393700,448575,431198,436656,425376,419794,390635,374318,386091,356020,360149,347229,352360,408885,390512,397033,392890,376423,377924,382652,381032,371853,335494,344688,327944,370939,357111,374707,367522,346203,357642,365860,378249,350206,345744,357128,355631,380356,361317,386569,364338,351119,384669,359315,388763,347683,330400,354256,346824,375069,380834,391087,343624,349975,377762,375212,406694,362145,365567,377397,360288,399294,384048,398415,352722,360081,384377,380183,408366,362722,359685
207,750111,697376,784122,750912,759766,742386,746627,723938,739872,773452,715098,709556,674392,660568,770429,740622,749161,727462,709973,701551,700324,711863,689392,683556,703593,680200,763598,740047,772347,756790,746539,716911,737468,743428,684403,683243,687722,676810,724833,682967,748934,708825,674697,707889,711035,719428,646166,652871,656389,628944,700253,681222,691817,650727,664801,688079,675704,690620,645065,628642,617112,578524,646574,610162,643510,583101,605704,622985,605803,632492,603021,594623
209,19593,18560,21406,19778,19600,19008,18009,16863,20706,22704,19820,18726,18220,19400,22402,21934,20740,20614,17955,18612,21777,21756,21441,20017,20643,20620,23805,21021,23583,22968,17000,20125,21840,22029,21693,19215,21819,23163,24530,21903,24992,21010,18795,23782,22363,26979,21924,18980,23540,22180,22428,24992,25036,19310,20042,23012,23360,26450,21660,20958,22484,22160,24339,24706,25662,20496,20438,22197,24591,27784,22363,21442
210,393862,368660,424617,402206,414763,401024,391404,378434,397989,408357,379756,367681,359462,357072,406594,389068,406770,395192,380449,378821,388182,388320,370168,359977,380712,367784,416577,397547,414786,404844,422721,427409,444881,448584,408194,415160,417721,414939,439331,420918,457304,425017,424668,449954,452145,484694,439235,417507,422683,426208,466952,448932,470598,431741,440585,458685,465952,482515,435200,431417,439933,415724,449449,436158,443304,412031,415525,438854,436118,456671,390923,383628
211,16779,16120,18128,16610,16180,16720,14191,12432,17850,18238,15200,14936,15080,14540,18055,16346,16460,17798,10983,10978,14658,14112,13167,12461,13776,13140,15962,13713,15183,14894,10520,13156,15603,15960,14280,12432,14217,14889,16302,14574,17622,14793,11718,14237,15295,19343,15393,12170,15620,14980,16128,16302,17182,14150,12584,14146,16540,19389,15420,13415,15774,14940,16107,16544,17892,14154,13068,13965,15981,17802,14155,12990
212,351730,322064,368034,347770,355199,354572,352088,336670,347000,359189,328124,325296,313342,309904,355040,344142,347026,349582,330550,332716,329672,332508,314148,308279,322523,314564,358104,343255,357307,354650,348782,370103,368686,383555,359506,363303,368652,366506,395092,363601,396986,387260,384315,414009,389521,425078,379531,367108,393964,374812,405474,406384,419998,383812,397319,416093,402054,434518,384810,385411,402966,378160,412181,405974,415928,383714,393398,402085,402172,424380,378626,378769
214,7247,6921,7772,7050,6876,7674,8111,7081,7470,8372,6908,7092,7159,8174,8873,7846,8005,9257,7853,7897,7631,7129,7568,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,307643,277508,322795,310580,319580,316180,327334,326950,318485,324820,310470,296666,286378,271808,308108,302562,324816,309518,304022,302484,291990,296721,275533,270695,267971,259476,289456,287187,295936,293802,248530,253700,243478,246279,228499,235251,232972,225775,246227,231966,252625,249628,257823,268687,257538,271948,245708,241649,251981,234112,263790,254384,264045,250937,263036,267904,255276,265747,242665,247769,252422,225488,253800,254128,258552,243242,248633,252593,243977,248056,227940,233451
218,23491,23617,26157,24936,24367,24433,25330,28333,26386,28675,26763,25988,25172,22679,20586,26801,24945,29011,30580,31656,32689,33876,31488,29639,30167,29356,32842,31689,33478,33911,29609,30117,29460,29898,27589,27971,28034,28010,29767,28589,30468,29274,27371,31672,28204,31386,29010,27334,28250,25761,29197,29585,30945,27561,31957,32054,30006,33287,29300,30042,31368,29584,32303,31698,32365,28890,29547,28751,28281,31480,28779,29153
220,11595,10848,12412,11684,12065,12672,12929,11783,7246,7302,6132,5871,5865,6120,7020,6902,5895,6560,6136,6728,6340,7028,6635,6227,5775,5580,6187,6069,6762,7018,5780,6141,5649,5292,5544,5523,5754,6069,6116,5628,6006,6036,5880,6923,5605,7061,5733,5190,6116,5560,5628,6006,6534,5815,6270,6314,6200,7268,6280,6571,6160,5960,6678,6600,6552,5817,6490,6636,6825,7521,6080,6540
222,37249,33936,38015,36868,35441,35604,38218,35870,37664,38687,35850,34319,34293,34208,38129,37186,36138,36854,35301,35814,35777,36051,34870,31774,33140,31752,36002,34262,34273,37378,35515,37862,36969,37364,34978,32639,35905,33306,35239,32452,34528,33603,34116,36321,35221,38910,36161,32066,36707,33448,36813,36120,36784,34316,36039,36939,34784,37489,33585,30799,34805,31080,36185,35024,34471,32054,48275,50213,50781,53871,46779,45435
224,189590,177240,204005,202186,205935,198920,301464,292349,290756,308966,285750,274395,249603,251012,287151,275218,273069,279262,269416,274688,265649,265852,252613,237350,248955,236384,276628,267688,276662,272698,253512,266907,253756,257168,236207,234023,239959,239147,257185,239622,260127,245078,235402,251445,235660,259830,229051,220765,239821,231536,252800,255604,261763,243813,251213,255860,248458,266320,234960,232125,244167,228644,252486,247670,251139,232089,241193,244011,236548,252494,216257,213860
230,145015,141060,166629,155172,156376,153850,148634,136941,157713,165570,149382,138478,124242,136168,158796,150430,148410,145934,132024,135935,142975,149647,138713,117928,112666,113552,133600,124943,128730,126924,114494,124591,133058,133469,126516,117133,115595,125801,139864,122648,138758,119887,121608,139044,135110,151456,131013,113679,122317,123916,132751,136112,138084,113675,120974,132964,136146,147002,127185,121449,125216,121180,137984,134596,135020,116006,122268,126234,134311,142930,117925,116434
232,158546,143344,163814,157890,158443,157169,166522,164059,158869,164820,152098,146154,143581,138849,169949,158409,156710,155147,162718,162602,158440,152832,144633,132294,144086,140682,156150,155106,158845,155813,172540,166356,159175,162703,150193,149133,156670,156665,165758,154271,168011,161632,172314,182410,165540,176725,158526,148621,158139,152206,165272,163803,169235,156949,205915,209507,199018,206604,183625,180263,192271,180256,195490,191134,195837,184058,200771,198280,189585,196645,169464,166846
233,455567,427156,493138,476138,488059,471702,482676,466668,475132,497624,452444,389319,333052,336992,386720,364384,375634,363104,356209,357249,357321,364975,333889,317448,338092,326624,370217,370176,380665,366844,412054,423796,436141,438824,395878,389204,398584,408866,431355,406417,436739,412643,391112,422205,407661,444985,381130,358096,383399,374544,416746,418314,430069,397384,401590,421480,410082,428366,379255,373689,378400,362752,401266,401604,401992,368179,377997,382157,368979,390269,347802,340421
234,166923,160884,183901,172730,175803,168030,168248,169403,184916,191414,176226,163986,153529,157296,186214,177932,186180,176084,174446,173756,184543,187041,173486,161111,171574,171264,193767,189604,196619,178318,174077,182541,191612,192445,176626,171916,171203,177397,192607,176838,193901,172121,165005,181316,180363,197280,170090,162042,170679,173860,188272,186658,190633,171947,173092,182647,183672,195483,173460,166700,174102,167680,185816,179694,183643,163998,166021,170097,175860,180631,158225,160337
236,54594,52852,63865,58830,60329,59054,58434,55289,59731,63158,58344,54904,49257,54808,64641,61088,59584,59206,55469,58815,61988,63377,59811,55497,56245,57456,68950,64027,68787,63332,54157,59180,63597,65090,61333,55462,58182,62050,67107,59209,67510,58822,53612,62993,60713,71182,63477,53890,63926,63704,68518,71614,71331,58559,59399,67990,68822,76045,62665,61197,63664,62740,68642,67890,68477,58590,61297,65878,67561,73537,60950,59078
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9360,17850,20020,24403,20433,22596,19558,17340,20079,24192,24150,22491,17451,19677,22428,23914,20181,23474,17415,16380,21229,21622,27646,22974,17150,21890,22660,24150,26444,26510,18145,18128,22748,25600,28980,21880,19947,21318,22400,24381,23430,23373,17556,17336,19719,26061,29302,21280,19116
243,48753,49020,58438,54690,54050,52980,53169,47778,53875,59780,52836,50245,44020,50352,60858,57290,55300,53340,48905,49546,55284,56690,52642,48322,45648,49688,59587,52697,54631,49152,42770,46740,50853,52162,48885,43061,42283,49746,53161,46868,52672,41660,38715,48883,47515,55202,46974,40026,45916,48440,49983,52598,52448,42485,43126,50489,50592,58792,47815,43511,47048,47692,50182,50344,51454,42792,43412,46546,50203,55212,45305,45506
245,102663,101000,119837,109984,107218,102246,88877,86379,98530,104641,95520,86716,80568,86384,101843,97638,96667,95080,84566,90746,95050,98839,92733,87671,90394,90824,108149,98389,106261,97306,89099,100388,99860,103603,93062,88889,92612,98301,104388,94059,104645,91285,74549,85810,80455,94170,78155,67057,81560,78648,82017,86856,88182,66594,69907,78312,78020,86260,73355,72632,77551,74552,83305,84710,82834,70455,70502,74234,76972,83573,69440,69239
246,0,0,0,0,0,0,0,0,0,0,0,45700,77372,76472,90858,84614,86102,84388,84469,83957,86830,88259,82488,78306,79947,78496,91210,86989,90164,89802,76228,74549,76052,77068,71790,69212,70003,71514,75653,70412,77130,72823,71623,76819,73004,83496,72869,70334,75945,75320,81029,81064,82457,74832,78847,81368,78060,82999,72200,72203,76395,73716,82600,81506,81635,74092,76679,80760,80343,85754,74104,72039
251,278508,263464,308000,288122,292259,288260,282735,275239,275989,278921,270130,252030,238398,236212,267469,253788,272281,265276,268916,273363,266028,261123,251479,235408,245913,235096,267882,254982,266320,263152,255476,261181,259771,262932,244722,242392,249881,245578,268727,253358,272090,269778,260757,268855,251468,272984,247990,244851,276142,262672,285499,286416,298382,279826,289087,302227,294376,310238,285745,287825,298242,284824,316613,304760,312425,282955,290272,301423,290480,306973,278243,273258
252,74381,73252,83309,78506,78204,76510,72243,65015,78709,82317,76236,72749,69195,74416,86263,82958,80415,77792,68387,71828,73974,79675,74093,63877,64328,62612,71381,62322,65070,62632,54539,57763,65414,64966,60402,54708,59307,61654,66446,58483,65811,59930,54655,63868,62677,72925,62379,53117,61447,65240,69737,74808,75798,61760,61103,72468,74310,81246,68270,66905,68739,69072,75718,72262,76662,60740,58972,67194,70866,77583,63378,60392
254,18272,16973,19012,15274,13958,15417,14803,15878,16750,16880,15297,14130,14194,14800,16888,17236,16679,18561,17323,17509,17632,18526,12680,13091,15882,16829,19522,17987,18664,17788,16799,18644,19204,20506,18842,17206,18206,20400,22328,20017,22455,18783,16858,19528,17361,21191,18444,16710,19484,18520,19687,20672,21200,17837,21414,23400,21724,24205,21595,20415,22146,20764,22057,22506,23055,19674,20496,20919,21495,24469,21318,21674
256,44953,43047,52199,48239,44856,40120,42177,35856,51589,44434,39099,34043,36029,36118,41249,39007,39457,38087,36861,35982,41540,41731,40237,26259,38049,34482,42126,39563,42563,37865,36045,38420,43480,47546,43506,34931,39061,43039,45457,41342,46998,40641,40731,46090,45604,53608,45529,35650,43965,43270,44561,47477,45845,39510,47982,49639,50536,58428,48760,43590,48516,47124,50083,52996,50391,41778,42495,43492,47835,56737,49891,44607
258,35826,34540,39600,38126,34140,36784,37076,34671,37296,38060,34000,33933,30540,32000,39836,37422,34620,35926,31479,33924,35469,34146,35196,32135,33873,33720,39606,35910,36792,37048,33500,38962,38283,38976,38115,34881,37065,38871,41690,38346,42174,40205,38787,44229,39406,49703,42336,37110,43604,41440,43407,47102,46750,38885,41954,42768,43540,50048,41060,39580,42636,40320,43617,44682,40971,38031,39688,40110,41643,47311,36385,37384
260,331706,305228,356022,334694,341570,327136,325760,316114,335689,344127,325006,306928,306072,308080,368365,341872,353844,333512,325183,329783,349562,349234,331978,317170,340931,324740,365483,357580,365442,347138,344546,345925,358663,367633,343084,334672,340214,347370,374531,348352,371198,354621,352998,361596,369586,398951,355159,334965,360779,350280,382273,372908,378609,348700,359957,369402,373978,398195,362635,352217,362104,341816,380412,372492,376603,339506,349820,358491,360421,370776,345184,331195
265,46899,45864,51965,49454,48192,47934,47242,46587,48982,51486,48220,46225,42847,44064,51363,47678,47775,48414,46297,46020,48689,48879,48343,44945,49110,46184,51693,49840,51915,50314,45158,48148,47063,48176,46258,44765,46408,45904,48294,44385,49467,47197,44469,46765,48750,53737,47956,44577,48759,47676,51725,50824,51620,50023,51046,50886,51058,54301,46990,46208,48886,46284,50629,48762,48484,45037,46389,46247,47397,51669,44747,44817
266,107860,99540,114050,108820,110200,109407,107067,104436,106455,105608,102404,96960,95913,92821,114472,100190,110897,109772,111289,113264,108695,113450,109690,83146,109419,101257,116962,110926,109034,119562,117504,120213,124106,124217,116749,116014,117960,108097,125839,119335,127750,116559,120178,123649,122263,129121,122093,111607,106903,115219,121017,122112,125147,115830,151858,156330,155014,166329,154500,152187,157598,147620,159436,159002,160575,146388,148105,152624,154651,163765,144818,141971
267,85005,81496,95883,88282,89094,87052,85156,75681,91754,97163,87738,84072,83634,82752,105220,95022,95974,95454,84769,80857,94309,95377,90617,82452,86494,86500,106152,96409,103155,96782,89171,91976,104653,105625,98415,89127,90630,92657,107269,93641,106978,92244,87851,93008,99989,110164,97063,87815,103588,97484,100164,105120,98782,90311,96148,96494,106326,117339,97710,93663,101439,94328,98072,103914,93074,83260,85795,86053,96271,101229,89817,82029
268,58961,53388,61969,60766,61678,59680,60836,56704,56475,62144,58654,59844,55433,52832,62990,58526,59086,60970,57420,57502,56411,56988,57678,57612,57659,55400,64168,59878,62461,60490,60035,62385,58714,60308,58759,59438,58710,57647,62128,58400,61860,60399,61116,58848,57635,61380,56940,56787,60824,56692,61088,61372,62094,58976,63279,60245,59448,63758,58320,61063,61183,55212,60646,62610,61739,55367,60959,55827,55786,61040,55217,57385
270,38482,44202,52104,48574,49444,45856,48523,53874,50713,52821,42091,37502,35726,41160,47675,47395,44262,49205,41580,45583,46956,49106,46117,30272,40953,47730,52653,50700,49923,45447,45664,51337,59429,60332,55074,45831,52863,57519,61681,58541,61202,51976,50488,57567,56764,66767,55794,42097,50503,60291,58271,64522,62230,49283,69460,72689,78464,87275,73670,60171,67540,70884,73512,82552,72096,60843,65716,67186,75792,77778,64208,59872
287,38081,35664,40496,37960,39809,40702,49533,48811,50473,52912,51602,55495,46604,47704,54273,53156,54327,53716,52451,52312,52647,51618,51205,30579,15729,15080,17756,17493,17703,18436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,25322,25684,28938,25448,25640,24626,24060,21204,25484,25386,21908,21031,20655,23508,28041,27778,25095,24700,22426,23034,26893,25866,24410,24170,25791,27112,29040,28030,29568,24646,21180,27068,25562,25033,24562,22000,24377,24193,25368,23321,26674,22824,18828,23973,22836,28044,22513,21181,23922,23768,24231,25810,26768,17383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,59500,54284,63989,61970,60648,59864,59851,60420,61420,62073,59276,56881,52443,54360,64702,61252,60577,63152,60759,62079,60337,61785,59307,56409,59337,59588,64654,66623,65026,64098,61042,68577,68666,69489,65497,64868,63528,62455,68229,63497,71715,67973,66999,66270,64688,68842,63539,59506,65622,65400,72277,71718,68995,64259,66782,71214,68594,74119,65345,64853,68663,64244,72178,70330,70687,65170,66648,68182,69079,74413,65049,64659
305,70941,67588,76682,75302,75963,72332,74848,71583,72927,77405,72212,70472,68297,68832,78507,76678,76649,75904,76707,75853,75001,75865,74271,66012,66914,63128,68283,67214,71145,67834,69065,70984,72514,71521,70329,67687,68872,70194,73809,69449,76182,37674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,28406,46943,44388,52140,49380,50109,50626,51452,51449,51039,50063,48163,46508,47571,44756,50941,49268,49967,48914,48770,51626,52089,52471,49885,47699,49812,48655,52753,49420,53918,51249,54290,56869,53297,59295,53933,52460,54520,50564,56365,55506,55871,53573,56535,56366,53638,56812,52030,51466,53100,49032,53842,54520,54594,50421,53901,53470,52316,54760,48659,45879
439,22997,21220,25004,23574,23704,23928,25199,25557,25349,27243,23976,24158,23219,22592,27371,26536,27327,28092,29456,29673,29338,29085,27396,16583,9618,9160,10005,8841,9261,10120,8560,10189,9870,9513,9009,8379,8715,9387,9878,8946,9064,4323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,4704,4780,5456,5324,5220,5940,4807,4389,5040,5324,4800,4667,4880,4640,5543,4994,4900,5214,4305,4708,4599,4977,4578,4759,4746,4780,5290,5145,5292,5368,4560,5543,5628,5817,5376,4662,5607,5901,6116,5607,5654,5383,5229,5796,5206,6509,5901,4760,5808,6040,6573,6820,6798,6025,6072,6446,6220,7038,6040,6043,6468,6320,6657,6952,6573,6048,6292,6363,6867,7452,5434,5230
444,74766,69904,80122,75024,75756,76386,79207,77448,75987,79641,71068,30446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,32820,32268,35962,34530,35604,34094,35828,35364,35577,37650,34132,34523,33469,31916,38657,36036,34446,33212,31750,31778,31919,32623,30747,29390,31458,30236,35325,33675,35242,34788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,101024,96720,110754,103954,102953,103634,110077,105598,108677,115832,105940,44214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,16275,15180,17468,17072,15880,17886,18101,16884,16989,18150,14520,16116,18340,16780,21206,19712,17480,18260,16968,16346,17010,15351,15813,15939,15834,15500,19159,16632,18585,19448,31532,34788,34458,36532,35669,33043,36567,37848,41075,38582,42062,38652,38285,40422,36760,44205,39886,35794,42061,40572,43734,44346,45440,40710,44155,46295,44700,50975,43145,39457,41155,38184,40750,40868,40534,38989,40555,40686,42125,46370,37791,37415
